ax,ay,az,temp,gx,gy,gz
0.0222,0.0786,1.0142,33.14,-2.382,-0.435,0.718
0.0171,0.074,1.0227,33.14,-2.229,-0.458,0.634
0.0227,0.0752,1.0208,33.24,-2.313,-0.412,0.618
0.0188,0.0774,1.0144,33.09,-2.099,-0.282,0.557
0.0178,0.0774,1.0212,33.19,-2.176,-0.328,0.626
0.0173,0.0801,1.02,33.09,-2.206,-0.435,0.618
0.0212,0.075,1.021,33.09,-2.13,-0.534,0.55
0.021,0.0776,1.0259,33.09,-2.16,-0.634,0.634
0.0212,0.0752,1.0125,33.14,-2.221,-0.496,0.603
0.0225,0.0742,1.0254,33.05,-2.008,-0.435,0.656
0.0256,0.0752,1.0227,33.14,-2.389,-0.649,0.74
0.019,0.0737,1.0298,33.14,-2.183,-0.473,0.725
0.0137,0.0762,1.0232,33.09,-2.153,-0.221,0.771
0.0193,0.071,1.02,33.19,-2.237,-0.42,0.641
0.0188,0.0747,1.0144,33.09,-2.237,-0.496,0.481
0.0164,0.0793,1.0237,33.19,-2.092,-0.214,0.763
0.0203,0.0796,1.0183,33.09,-2.115,-0.458,0.649
0.0178,0.0779,1.0129,33.14,-2.344,-0.275,0.489
0.0171,0.0737,1.0171,33.24,-2.237,-0.519,0.595
0.0154,0.0793,1.0164,33.14,-2.13,-0.374,0.756
0.0142,0.0835,1.0227,33.14,-2.267,-0.427,0.527
0.0171,0.073,1.0264,33.14,-2.336,-0.397,0.573
0.0144,0.0823,1.0161,33.05,-2.084,-0.397,0.489
0.0176,0.0779,1.0195,33.09,-2.221,-0.473,0.74
0.0171,0.082,1.0266,33.19,-2.023,-0.397,0.603
0.0156,0.0718,1.0269,33.19,-2.511,-0.466,0.626
0.0173,0.0791,1.0198,33.09,-2.069,-0.305,0.565
0.0215,0.0735,1.0237,33.24,-2.053,-0.519,0.71
0.0173,0.0764,1.0295,33.05,-2.183,-0.466,0.504
0.022,0.0725,1.0193,33.14,-2.099,-0.382,0.687
0.02,0.0745,1.0198,33.24,-2.053,-0.603,0.656
0.0215,0.0818,1.0234,33.09,-2.092,-0.573,0.595
0.0142,0.0767,1.0112,33.14,-2.282,-0.305,0.771
0.0154,0.0818,1.0159,33.0,-2.359,-0.481,0.74
0.0142,0.0769,1.0271,33.28,-2.069,-0.527,0.679
